monthyear,business_level,category,brand,Sales Amount,Spend on meta Amount,Spend on tv Amount,Spend on ucontent Amount,Spend on youtube Amount
2018-01-01,Business Unit 1,Category 1,Brand 1,126241511816.768,3092581196.0,1954508397.10581,0.0,0.0
2018-02-01,Business Unit 1,Category 1,Brand 1,116080188187.293,1991768060.0,2028384372.400406,0.0,0.0
2018-03-01,Business Unit 1,Category 1,Brand 1,122736872136.552,5927828960.796282,1601622801.398912,0.0,942477000.0
2018-04-01,Business Unit 1,Category 1,Brand 1,126579938342.882,2638935599.989478,1638252142.954704,0.0,0.0
2018-05-01,Business Unit 1,Category 1,Brand 1,132713045845.218,3644244400.0,8573104225.390882,0.0,0.0
2018-06-01,Business Unit 1,Category 1,Brand 1,135958212810.88199,8026194174.123874,8022691198.497407,0.0,1256636000.0
2018-07-01,Business Unit 1,Category 1,Brand 1,144183476625.03198,8825024761.05,5636706384.138776,0.0,2199113000.0
2018-08-01,Business Unit 1,Category 1,Brand 1,143337834110.238,4084067000.0,2693097229.034787,0.0,0.0
2018-09-01,Business Unit 1,Category 1,Brand 1,138872223518.01,2937362384.35884,1409739140.736783,0.0,0.0
2018-10-01,Business Unit 1,Category 1,Brand 1,140163515025.61798,4404532189.005159,1411923083.372992,0.0,0.0
2018-11-01,Business Unit 1,Category 1,Brand 1,133443993307.33801,5770850759.436,4191180250.711092,0.0,0.0
2018-12-01,Business Unit 1,Category 1,Brand 1,136598306432.679,1778730558.92,4179903957.090553,0.0,0.0
2019-01-01,Business Unit 1,Category 1,Brand 1,148413468595.57797,3319827847.89803,9399495523.605225,0.0,0.0
2019-02-01,Business Unit 1,Category 1,Brand 1,127317695829.645,4360812220.733099,5322537573.266718,0.0,0.0
2019-03-01,Business Unit 1,Category 1,Brand 1,135626047473.638,7708059357.653896,3960150193.15498,0.0,0.0
2019-04-01,Business Unit 1,Category 1,Brand 1,135489928033.8,5772495202.729227,2159051860.580675,0.0,1884954000.0
2019-05-01,Business Unit 1,Category 1,Brand 1,143753289909.88,3748015954.55532,4535306212.201524,0.0,326849615.539362
2019-06-01,Business Unit 1,Category 1,Brand 1,157133349994.19,3272406445.656929,3970845598.08002,0.0,0.0
2019-07-01,Business Unit 1,Category 1,Brand 1,156367330763.787,9626000051.901405,4152912920.095245,0.0,785397500.0
2019-08-01,Business Unit 1,Category 1,Brand 1,147890493763.13998,3232380278.701589,2839773190.588914,0.0,0.0
2019-09-01,Business Unit 1,Category 1,Brand 1,148069828286.7,3353133233.470809,2538346177.726986,0.0,0.0
2019-10-01,Business Unit 1,Category 1,Brand 1,150390841890.198,5111004993.077514,4036774905.917458,0.0,0.0
2019-11-01,Business Unit 1,Category 1,Brand 1,147084317786.88,5713084849.227273,3908811679.630362,0.0,0.0
2019-12-01,Business Unit 1,Category 1,Brand 1,139673182884.075,4484126877.595658,3488383683.924567,0.0,0.0
2020-01-01,Business Unit 1,Category 1,Brand 1,143419206946.1,2858846900.0,8260162733.026529,605541472.5,0.0
2020-02-01,Business Unit 1,Category 1,Brand 1,143005373149.375,2038891910.0,8690646740.982008,605541472.5,0.0
2020-03-01,Business Unit 1,Category 1,Brand 1,155260778257.016,1413715500.0,4492331274.496451,605498214.6906539,0.0
2020-04-01,Business Unit 1,Category 1,Brand 1,147817773180.297,1720020525.0,4527146133.10908,605498214.6906539,0.0
2020-05-01,Business Unit 1,Category 1,Brand 1,151323468120.59402,2860417695.0,4463106988.584102,605498214.6906539,0.0
2020-06-01,Business Unit 1,Category 1,Brand 1,154419741941.47998,235619250.0,5787566877.674134,605498214.6906539,0.0
2020-07-01,Business Unit 1,Category 1,Brand 1,143144587369.522,5665857565.0,4291343351.09898,605498214.6906539,0.0
2020-08-01,Business Unit 1,Category 1,Brand 1,150451940160.836,4480741621.20296,4401648445.531895,605498214.6906539,0.0
2020-09-01,Business Unit 1,Category 1,Brand 1,151952702836.556,3899346220.385,8262316808.729925,605498214.6906539,1256636000.0
2020-10-01,Business Unit 1,Category 1,Brand 1,148093471264.72202,2909643268.71,4692750828.259416,605498214.6906539,2513272000.0
2020-11-01,Business Unit 1,Category 1,Brand 1,149259467052.519,4062064874.435,8406388118.38422,605498214.6906539,1256636000.0
2020-12-01,Business Unit 1,Category 1,Brand 1,157821788602.02002,4798277953.386821,5098023583.704369,605498214.6906539,0.0
2021-01-01,Business Unit 1,Category 1,Brand 1,149922526953.85202,1306901440.0,4987428848.3075,691081668.33767,0.0
2021-02-01,Business Unit 1,Category 1,Brand 1,133569705916.142,4145328005.0,9568702260.008999,691081658.9129,1335175750.0
2021-03-01,Business Unit 1,Category 1,Brand 1,151742583872.586,5397251620.0,7968898132.108,691081658.9129,0.0
2021-04-01,Business Unit 1,Category 1,Brand 1,149355758356.81403,2711192170.0,4922012933.453,691081658.9129,0.0
2021-05-01,Business Unit 1,Category 1,Brand 1,167665457270.143,1583361360.0,4852390272.509,645417212.55627,1256636000.0
2021-06-01,Business Unit 1,Category 1,Brand 1,159160970507.588,1729445295.0,2980597649.655,736746105.2695299,0.0
2021-07-01,Business Unit 1,Category 1,Brand 1,137611079336.36002,6010554321.48002,4199080924.059,645417212.55627,0.0
2021-08-01,Business Unit 1,Category 1,Brand 1,151518181983.84,4010768183.829911,6211165772.2526,645417212.55627,0.0
2021-09-01,Business Unit 1,Category 1,Brand 1,137036658768.55899,1423230590.7125,0.0,645417212.55627,0.0
2021-10-01,Business Unit 1,Category 1,Brand 1,145439670289.16,1612163865.5267,6186923693.0176,645417212.55627,0.0
2021-11-01,Business Unit 1,Category 1,Brand 1,145330114877.726,2528979950.0,5990800009.8432,782410551.62616,0.0
2021-12-01,Business Unit 1,Category 1,Brand 1,147615037895.30402,1291429768.423924,6110214610.3424,782410551.62616,0.0
2022-01-01,Business Unit 1,Category 1,Brand 1,151890106655.806,2277652750.0,7803859256.763499,729906610.5605145,0.0
